,tweet_id,user_id,user_name,text,time,retweets,favorited,place,geo
0,1043148740436156418,2914820877,lmartinezpr,@UPSHelp @UPS Why the webpage does not get updated since the 19th and is a overnight shipping?? Next time will use Fedex,Fri Sep 21 14:43:35 +0000 2018,0,0,,
1,1043152490307436546,271516607,UPSHelp,"@lmartinezpr We will get the package delivered as soon as possible, and we should get an updated scan shortly. Please keep tracking the shipment online for an update. ^ML https://t.co/wKJHDXWGRQ",Fri Sep 21 14:58:29 +0000 2018,0,0,,
2,1043159581088722945,2914820877,lmartinezpr,@UPSHelp Why no update in 2 days? Is just crazy. I will expect to see some movement,Fri Sep 21 15:26:39 +0000 2018,0,0,,
3,1043203743637037063,2914820877,lmartinezpr,@SmarkTony @Twitter @Apple @UPS Is ridiculous a company like Apple Javi this kind of issues and UPS is the worst.,Fri Sep 21 18:22:08 +0000 2018,0,0,,
4,1043204165386813440,2914820877,lmartinezpr,@UPSHelp why all the delays with the iPhones? @apple why you keep using UPS? Worst ever.,Fri Sep 21 18:23:49 +0000 2018,0,0,,
5,1044227418247110656,2914820877,lmartinezpr,"@UPSHelp Do not understand one thing... why something that is still in AK, that should be delivered today in PR... Can you please provide update? Maybe your system gets something different.",Mon Sep 24 14:09:51 +0000 2018,0,0,,
6,1044234607112179713,271516607,UPSHelp,@lmartinezpr I understand your concern with the delivery date. The tracking indicates there was a delay on loading your package onto the air craft. The delivery will be delayed by 1 business day. Please continue to track your package online at https://t.co/jG8kT6OZ9k for any updates. ^SK https://t.co/wKJHDXWGRQ,Mon Sep 24 14:38:25 +0000 2018,0,0,,
7,1044250732365586432,2914820877,lmartinezpr,@UPSHelp another one? I really do not understand what is the issue.,Mon Sep 24 15:42:30 +0000 2018,0,0,,
8,1044255318673362950,271516607,UPSHelp,"@lmartinezpr We will need to wait for the status to update, as the package may have traveled to the destination site, with no new scans yet. Please use the “Notify Me With Updates” feature to receive alerts as they become available. ^EL https://t.co/wKJHDXWGRQ",Mon Sep 24 16:00:43 +0000 2018,0,0,,
9,1044256511353126912,2914820877,lmartinezpr,@UPSHelp Just can’t understand why same day we bought 2 items one of them was received and this one not. Same address and everything. Why AK? For a package to Puerto Rico.,Mon Sep 24 16:05:28 +0000 2018,0,0,,
10,1044295257779830785,271516607,UPSHelp,"@lmartinezpr When packages are placed in transit, it is possible that they are separated and placed on different trailers. This would cause them to be delivered separately. I apologize for any inconvenience this may have caused. ^TT",Mon Sep 24 18:39:26 +0000 2018,0,0,,
11,1044383773687775232,2914820877,lmartinezpr,@UPSHelp  still struggling to get my package.... web page says Monday 09/24/2018 ... and is in AK... Wao dealing with this company have been awful...,Tue Sep 25 00:31:10 +0000 2018,0,0,,
12,1044387108109135872,271516607,UPSHelp,@lmartinezpr I am showing that this package is scheduled to be delivered to you tomorrow 09/25. Please continue to track this on https://t.co/MBv5fsbmDH. ^AC,Tue Sep 25 00:44:25 +0000 2018,0,0,,
13,1044437988070035461,2914820877,lmartinezpr,@UPSHelp Its so difficult to deliver a stupid package? This is getting out of hand. Now I am stuck. Can’t request cancellation with the seller and your stupid service can’t get an item to my house,Tue Sep 25 04:06:35 +0000 2018,0,0,,
14,1044565247082868737,2914820877,lmartinezpr,"@UPSHelp Another stupid delay?? 
 A.M.We've missed the scheduled transfer time. This may cause a delay. / Your package was released by the clearing agency. Louisville,  KY,  United States09/25/20186:54 A.M.We've missed the scheduled transfer time. This may cause a delay.",Tue Sep 25 12:32:16 +0000 2018,0,0,,
15,1044571707988676609,271516607,UPSHelp,@lmartinezpr I apologize for the frustrations with this and know how upsetting this would be. This was also released and within transit at this time and will update once that information is made available. I apologize that there are no full details at this time. DM us using this link. ^CK https://t.co/wKJHDXWGRQ,Tue Sep 25 12:57:57 +0000 2018,0,0,,
16,1044714760225181697,2914820877,lmartinezpr,@UPSHelp @ups I hate your company.... you don’t care about your deliveries or customer service. Tracking and tracking  for nothing.,Tue Sep 25 22:26:23 +0000 2018,0,0,,
17,1044724730723540992,271516607,UPSHelp,@lmartinezpr I'm truly sorry you're feeling this way! We are working on getting the package out to you ASAP! ^SK,Tue Sep 25 23:06:00 +0000 2018,0,0,,
18,1044741498061967360,2914820877,lmartinezpr,@UPSHelp It doesn’t feel like that. Every day same thing just keep adding delayed delayed delayed,Wed Sep 26 00:12:38 +0000 2018,0,0,,
