,tweet_id,user_id,user_name,text,time,retweets,favorited,place,geo
0,1044208651504881664,4833876566,resulgurcan,If you want headache just work with @fedex and @FedExHelp will not help you. You will call @fedex customer service they will not care about you specially when they start schedule. I have been waiting line since they arrived at work  today. No one helps. No one no idea anything.,Mon Sep 24 12:55:17 +0000 2018,0,0,,
1,1044210437666099200,4833876566,resulgurcan,"What is going wrong with @fedex?? Are they on @strike ? No one help on @FedExHelp .., I am providing what they need but they do not want hold my business !!!!",Mon Sep 24 13:02:23 +0000 2018,0,0,,
2,1044211564780359682,952293073,FedExHelp,"@resulgurcan Hi, this is Yvette.  I'd like to help. Please private message your delivery address, tracking number, phone number, and email address.",Mon Sep 24 13:06:52 +0000 2018,0,0,,
3,1044213309988368386,4833876566,resulgurcan,@FedExHelp So why still no one help,Mon Sep 24 13:13:48 +0000 2018,0,0,,
4,1044214146324213762,4833876566,resulgurcan,@fedexhelp you wanted to talk on private baby but you are not there ;),Mon Sep 24 13:17:07 +0000 2018,0,0,,
5,1044216656799633408,4833876566,resulgurcan,Why no one works on customer service @FedEx @FedExHelp @FedExNews @FedExPolicy,Mon Sep 24 13:27:06 +0000 2018,0,0,,
6,1044218256238804992,4833876566,resulgurcan,Dear @FedEx why do not you care us !!!,Mon Sep 24 13:33:27 +0000 2018,0,0,,
7,1044218752991154176,952293073,FedExHelp,@resulgurcan Thank you for providing the requested information. Please allow me a few minutes to look at your tracking number?,Mon Sep 24 13:35:26 +0000 2018,0,0,,
8,1044220656404049920,952293073,FedExHelp,"@resulgurcan I apologize the US Social Media team can assist with package that has cleared customer. Please call our International Customer Service department at 1.800.GoFedEx. When prompted, select the correct number for International, or say ""International"".",Mon Sep 24 13:42:59 +0000 2018,0,0,,
9,1044319059641335808,4833876566,resulgurcan,@FedExHelp !!!!,Mon Sep 24 20:14:00 +0000 2018,0,0,,
10,1044332343169814528,4833876566,resulgurcan,@fedex @FedExHelp are you joke guys ???? You wanted to talk private 10 hours ago still no action ://////////,Mon Sep 24 21:06:48 +0000 2018,0,0,,
11,1044332545280741378,4833876566,resulgurcan,@FedEx @FedExHelp Almost 10 hours passed no one helps at @fedex,Mon Sep 24 21:07:36 +0000 2018,0,0,,
12,1044332722464989186,4833876566,resulgurcan,@FedEx @FedExHelp Almost 10 hours passed no one helps ://////,Mon Sep 24 21:08:18 +0000 2018,0,0,,
13,1044333679789649920,4833876566,resulgurcan,@FedEx @JustinRose99 What’s going on @fedex? A Sr. ECO importer coordinator at @fedex https://t.co/GCYxm1TZRm,Mon Sep 24 21:12:06 +0000 2018,0,0,,
